,id,label,weight,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_28_0,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_62_338,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_13_126,gab_feed1_ver4.gab_feed1.main_BasicBlock_153_82,gab_feed1_ver4.ModPow.modPow_BasicBlock_11_84,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_46_180,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_12_0,gab_feed1_ver4.gab_feed1.main_BasicBlock_116_22,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_31_31,gab_feed1_ver4.gab_feed1.main_BasicBlock_157_147,gab_feed1_ver4.ModPow.modPow_BasicBlock_15_63,gab_feed1_ver4.gab_feed1.main_BasicBlock_87_0,gab_feed1_ver4.ModPow.modPow_BasicBlock_18_116,gab_feed1_ver4.gab_feed1.main_BasicBlock_162_186,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_17_53,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_44_155,gab_feed1_ver4.KeyExchangeServer.generateMasterSecret_BasicBlock_80_0,gab_feed1_ver4.ModPow.modPow_BasicBlock_13_28,gab_feed1_ver4.gab_feed1.main_BasicBlock_152_67,gab_feed1_ver4.gab_feed1.main_BasicBlock_155_192,gab_feed1_ver4.ModPow.modPow_BasicBlock_9_0,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_23_145,gab_feed1_ver4.ModPow.modPow_BasicBlock_11_98,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_16_107,gab_feed1_ver4.gab_feed1.main_BasicBlock_153_98,gab_feed1_ver4.gab_feed1.main_BasicBlock_150_44,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_33_44,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_36_78,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_16_39,gab_feed1_ver4.gab_feed1.main_BasicBlock_155_128,gab_feed1_ver4.gab_feed1.callGenerator_BasicBlock_46_0,gab_feed1_ver4.gab_feed1.main_BasicBlock_156_144,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_15_20,gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_42_134,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_18_72,gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_16_93
gab_feed1_ver4.gab_feed1.main_BasicBlock_162_186,0.7173899641897593,0.797416061495937,,0.7974160614959375,0.7974160614959375,0.20719591070980697,,,0.20719591070980697,0.20719591070980697,,,1.0,0.7974160614959375,,,1.0,-0.47515876925349043,0.20719591070980697,,0.3915484503707112,,,,0.20719591070980697,,0.20719591070980697,,,0.7974160614959375,0.7974160614959375,0.20719591070980697,,,-1.0,0.20719591070980697,0.79746685118317,0.008993488750359149,0.20719591070980697
gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_17_53,-0.10970164730442283,-0.19210013041148943,,-0.19210013041149007,-0.19210013041149007,-0.48631234989342936,,,-0.48631234989342936,-0.48631234989342936,,,-0.47515876925349043,-0.19210013041149007,,,-0.47515876925349043,1.0,-0.48631234989342936,,-0.0941855090796251,,,,-0.48631234989342936,,-0.48631234989342936,,,-0.19210013041149007,-0.19210013041149007,-0.48631234989342936,,,0.47515876925349043,-0.48631234989342936,-0.1921152811605709,-0.12276526074210721,-0.48631234989342936
gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_44_155,-0.22202093565453637,-0.08512641923298096,,-0.08512641923297828,-0.08512641923297828,1.0,,,1.0,1.0,,,0.20719591070980697,-0.08512641923297828,,,0.20719591070980697,-0.48631234989342936,1.0,,-0.04363636469558584,,,,1.0,,1.0,,,-0.08512641923297828,-0.08512641923297828,1.0,,,-0.20719591070980697,1.0,-0.0858531680065,-0.18029918354725513,1.0
gab_feed1_ver4.KeyExchangeServer.generateMasterSecret_BasicBlock_80_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gab_feed1_ver4.ModPow.modPow_BasicBlock_13_28,0.45326035243683116,0.4998844276649491,,0.49988442766494967,0.49988442766494967,-0.04363636469558584,,,-0.04363636469558584,-0.04363636469558584,,,0.3915484503707112,0.49988442766494967,,,0.3915484503707112,-0.0941855090796251,-0.04363636469558584,,1.0,,,,-0.04363636469558584,,-0.04363636469558584,,,0.49988442766494967,0.49988442766494967,-0.04363636469558584,,,-0.3915484503707112,-0.04363636469558584,0.4998806895663206,-0.08463760732825387,-0.04363636469558584
gab_feed1_ver4.gab_feed1.main_BasicBlock_152_67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gab_feed1_ver4.gab_feed1.main_BasicBlock_155_192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gab_feed1_ver4.ModPow.modPow_BasicBlock_9_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_23_145,-0.22202093565453637,-0.08512641923298096,,-0.08512641923297828,-0.08512641923297828,1.0,,,1.0,1.0,,,0.20719591070980697,-0.08512641923297828,,,0.20719591070980697,-0.48631234989342936,1.0,,-0.04363636469558584,,,,1.0,,1.0,,,-0.08512641923297828,-0.08512641923297828,1.0,,,-0.20719591070980697,1.0,-0.0858531680065,-0.18029918354725513,1.0
gab_feed1_ver4.ModPow.modPow_BasicBlock_11_98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_16_107,-0.22202093565453637,-0.08512641923298096,,-0.08512641923297828,-0.08512641923297828,1.0,,,1.0,1.0,,,0.20719591070980697,-0.08512641923297828,,,0.20719591070980697,-0.48631234989342936,1.0,,-0.04363636469558584,,,,1.0,,1.0,,,-0.08512641923297828,-0.08512641923297828,1.0,,,-0.20719591070980697,1.0,-0.0858531680065,-0.18029918354725513,1.0
gab_feed1_ver4.gab_feed1.main_BasicBlock_153_98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gab_feed1_ver4.gab_feed1.main_BasicBlock_150_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_33_44,0.9790685523279294,1.0000000000000049,,1.0,1.0,-0.08512641923297828,,,-0.08512641923297828,-0.08512641923297828,,,0.7974160614959375,1.0,,,0.7974160614959375,-0.19210013041149007,-0.08512641923297828,,0.49988442766494967,,,,-0.08512641923297828,,-0.08512641923297828,,,1.0,1.0,-0.08512641923297828,,,-0.7974160614959375,-0.08512641923297828,0.9999976204304191,-0.1662595718877634,-0.08512641923297828
gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_36_78,0.9790685523279294,1.0000000000000049,,1.0,1.0,-0.08512641923297828,,,-0.08512641923297828,-0.08512641923297828,,,0.7974160614959375,1.0,,,0.7974160614959375,-0.19210013041149007,-0.08512641923297828,,0.49988442766494967,,,,-0.08512641923297828,,-0.08512641923297828,,,1.0,1.0,-0.08512641923297828,,,-0.7974160614959375,-0.08512641923297828,0.9999976204304191,-0.1662595718877634,-0.08512641923297828
gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_16_39,-0.22202093565453637,-0.08512641923298096,,-0.08512641923297828,-0.08512641923297828,1.0,,,1.0,1.0,,,0.20719591070980697,-0.08512641923297828,,,0.20719591070980697,-0.48631234989342936,1.0,,-0.04363636469558584,,,,1.0,,1.0,,,-0.08512641923297828,-0.08512641923297828,1.0,,,-0.20719591070980697,1.0,-0.0858531680065,-0.18029918354725513,1.0
gab_feed1_ver4.gab_feed1.main_BasicBlock_155_128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gab_feed1_ver4.gab_feed1.callGenerator_BasicBlock_46_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gab_feed1_ver4.gab_feed1.main_BasicBlock_156_144,-0.7173899641897593,-0.797416061495937,,-0.7974160614959375,-0.7974160614959375,-0.20719591070980697,,,-0.20719591070980697,-0.20719591070980697,,,-1.0,-0.7974160614959375,,,-1.0,0.47515876925349043,-0.20719591070980697,,-0.3915484503707112,,,,-0.20719591070980697,,-0.20719591070980697,,,-0.7974160614959375,-0.7974160614959375,-0.20719591070980697,,,1.0,-0.20719591070980697,-0.79746685118317,-0.008993488750359149,-0.20719591070980697
gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_15_20,-0.22202093565453637,-0.08512641923298096,,-0.08512641923297828,-0.08512641923297828,1.0,,,1.0,1.0,,,0.20719591070980697,-0.08512641923297828,,,0.20719591070980697,-0.48631234989342936,1.0,,-0.04363636469558584,,,,1.0,,1.0,,,-0.08512641923297828,-0.08512641923297828,1.0,,,-0.20719591070980697,1.0,-0.0858531680065,-0.18029918354725513,1.0
gab_feed1_ver4.OptimizedMultiplier.fastMultiply_BasicBlock_42_134,0.9790729741994604,0.9999976204304225,,0.9999976204304191,0.9999976204304191,-0.0858531680065,,,-0.0858531680065,-0.0858531680065,,,0.79746685118317,0.9999976204304191,,,0.79746685118317,-0.1921152811605709,-0.0858531680065,,0.4998806895663206,,,,-0.0858531680065,,-0.0858531680065,,,0.9999976204304191,0.9999976204304191,-0.0858531680065,,,-0.79746685118317,-0.0858531680065,1.0,-0.16578384702048124,-0.0858531680065
gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_18_72,-0.21603205360098948,-0.16625957188776222,,-0.1662595718877634,-0.1662595718877634,-0.18029918354725513,,,-0.18029918354725513,-0.18029918354725513,,,0.008993488750359149,-0.1662595718877634,,,0.008993488750359149,-0.12276526074210721,-0.18029918354725513,,-0.08463760732825387,,,,-0.18029918354725513,,-0.18029918354725513,,,-0.1662595718877634,-0.1662595718877634,-0.18029918354725513,,,-0.008993488750359149,-0.18029918354725513,-0.16578384702048124,1.0,-0.18029918354725513
gab_feed1_ver4.OptimizedMultiplier.standardMultiply_BasicBlock_16_93,-0.22202093565453637,-0.08512641923298096,,-0.08512641923297828,-0.08512641923297828,1.0,,,1.0,1.0,,,0.20719591070980697,-0.08512641923297828,,,0.20719591070980697,-0.48631234989342936,1.0,,-0.04363636469558584,,,,1.0,,1.0,,,-0.08512641923297828,-0.08512641923297828,1.0,,,-0.20719591070980697,1.0,-0.0858531680065,-0.18029918354725513,1.0
