id,label,weight,overview.main_BasicBlock_55_353,overview.main_BasicBlock_38_112,overview.main_BasicBlock_45_206,overview.modExp_BasicBlock_9_28,overview.main_BasicBlock_37_98,overview.main_BasicBlock_41_150,overview.modExp_BasicBlock_23_148,overview.main_BasicBlock_34_63,overview.main_BasicBlock_65_437,overview.modExp_BasicBlock_6_0,overview.main_BasicBlock_30_278,overview.modExp_BasicBlock_12_60,overview.main_BasicBlock_32_46,overview.main_BasicBlock_28_0,overview.main_BasicBlock_40_132,overview.main_BasicBlock_46_225,overview.modExp_BasicBlock_18_110,overview.main_BasicBlock_46_245,overview.main_BasicBlock_57_371,overview.modExp_BasicBlock_11_46,overview.main_BasicBlock_53_333,overview.main_BasicBlock_47_262,overview.modExp_BasicBlock_7_13,overview.main_BasicBlock_30_21,overview.main_BasicBlock_36_79,overview.main_BasicBlock_51_308,overview.main_BasicBlock_51_295,overview.modExp_BasicBlock_16_95,overview.modExp_BasicBlock_21_130,overview.main_BasicBlock_44_169,overview.modExp_BasicBlock_14_76,overview.main_BasicBlock_44_189
1.0y+260.0,4,100,0.4,0,0,5,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,6,0,0,0,0,4.0y+0.0,5,0,1.7y+27.2,0
1.0y+270.0,3,100,0.4,0,0,5,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,6,0,0,0,0,3.0y+0.0,5,0,1.3y+20.4,0
1.0y+280.0,4,100,0.4,0,0,5,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,6,0,0,0,0,4.0y+0.0,5,0,1.7y+27.2,0
1.0y+290.0,4,100,0.4,0,0,5,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,6,0,0,0,0,4.0y+0.0,5,0,1.7y+27.2,0
1.0y+300.0,5,100,0.4,0,0,5,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,6,0,0,0,0,5.0y+0.0,5,0,2.2y+34.0,0
1.0y+310.0,1,100,0.4,0,0,6,0,0,1,0,0.4,1,0,0.4y+7.8,0,0,0,0,0.4y+6.8,0,1,1,0.4,0,7,0,0,0,0,1.0y+0.0,6,0,0.4y+6.8,0
1.0y+320.0,2,100,0.4,0,0,6,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,7,0,0,0,0,2.0y+0.0,6,0,0.9y+13.6,0
1.0y+330.0,2,100,0.4,0,0,6,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,7,0,0,0,0,2.0y+0.0,6,0,0.9y+13.6,0
1.0y+340.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+350.0,2,100,0.4,0,0,6,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,7,0,0,0,0,2.0y+0.0,6,0,0.9y+13.6,0
1.0y+360.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+370.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+380.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+390.0,2,100,0.4,0,0,6,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,7,0,0,0,0,2.0y+0.0,6,0,0.9y+13.6,0
1.0y+400.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+410.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+420.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+430.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+440.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+450.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+460.0,5,100,0.4,0,0,6,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,7,0,0,0,0,5.0y+0.0,6,0,2.2y+34.0,0
1.0y+470.0,2,100,0.4,0,0,6,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,7,0,0,0,0,2.0y+0.0,6,0,0.9y+13.6,0
1.0y+480.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+490.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+500.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+510.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+520.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+530.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+540.0,5,100,0.4,0,0,6,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,7,0,0,0,0,5.0y+0.0,6,0,2.2y+34.0,0
1.0y+550.0,3,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,7,0,0,0,0,3.0y+0.0,6,0,1.3y+20.4,0
1.0y+560.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+570.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+580.0,5,100,0.4,0,0,6,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,7,0,0,0,0,5.0y+0.0,6,0,2.2y+34.0,0
1.0y+590.0,4,100,0.4,0,0,6,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,7,0,0,0,0,4.0y+0.0,6,0,1.7y+27.2,0
1.0y+600.0,5,100,0.4,0,0,6,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,7,0,0,0,0,5.0y+0.0,6,0,2.2y+34.0,0
1.0y+610.0,5,100,0.4,0,0,6,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,7,0,0,0,0,5.0y+0.0,6,0,2.2y+34.0,0
1.0y+620.0,6,100,0.4,0,0,6,0,0,1,0,0.4,1,0,2.6y+46.8,0,0,0,0,2.6y+40.8,0,1,6,0.4,0,7,0,0,0,0,6.0y+0.0,6,0,2.6y+40.8,0
1.0y+630.0,1,100,0.4,0,0,7,0,0,1,0,0.4,1,0,0.4y+7.8,0,0,0,0,0.4y+6.8,0,1,1,0.4,0,8,0,0,0,0,1.0y+0.0,7,0,0.4y+6.8,0
1.0y+640.0,2,100,0.4,0,0,7,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,8,0,0,0,0,2.0y+0.0,7,0,0.9y+13.6,0
1.0y+650.0,2,100,0.4,0,0,7,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,8,0,0,0,0,2.0y+0.0,7,0,0.9y+13.6,0
1.0y+660.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+670.0,2,100,0.4,0,0,7,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,8,0,0,0,0,2.0y+0.0,7,0,0.9y+13.6,0
1.0y+680.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+690.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+700.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+710.0,2,100,0.4,0,0,7,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,8,0,0,0,0,2.0y+0.0,7,0,0.9y+13.6,0
1.0y+720.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+730.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+740.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+750.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+760.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+770.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+780.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
1.0y+790.0,2,100,0.4,0,0,7,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,8,0,0,0,0,2.0y+0.0,7,0,0.9y+13.6,0
1.0y+800.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+810.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+820.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+830.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+840.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+850.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+860.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
1.0y+870.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+880.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+890.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+900.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
1.0y+910.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+920.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
1.0y+930.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
1.0y+940.0,6,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.6y+46.8,0,0,0,0,2.6y+40.8,0,1,6,0.4,0,8,0,0,0,0,6.0y+0.0,7,0,2.6y+40.8,0
1.0y+950.0,2,100,0.4,0,0,7,0,0,1,0,0.4,1,0,0.9y+15.6,0,0,0,0,0.9y+13.6,0,1,2,0.4,0,8,0,0,0,0,2.0y+0.0,7,0,0.9y+13.6,0
1.0y+960.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+970.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+980.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+990.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+1000.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+1010.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+1020.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
1.0y+1030.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+1040.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+1050.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+1060.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
1.0y+1070.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+1080.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
1.0y+1090.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
1.0y+1100.0,6,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.6y+46.8,0,0,0,0,2.6y+40.8,0,1,6,0.4,0,8,0,0,0,0,6.0y+0.0,7,0,2.6y+40.8,0
1.0y+1110.0,3,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.3y+23.4,0,0,0,0,1.3y+20.4,0,1,3,0.4,0,8,0,0,0,0,3.0y+0.0,7,0,1.3y+20.4,0
1.0y+1120.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+1130.0,4,100,0.4,0,0,7,0,0,1,0,0.4,1,0,1.7y+31.2,0,0,0,0,1.7y+27.2,0,1,4,0.4,0,8,0,0,0,0,4.0y+0.0,7,0,1.7y+27.2,0
1.0y+1140.0,5,100,0.4,0,0,7,0,0,1,0,0.4,1,0,2.2y+39.0,0,0,0,0,2.2y+34.0,0,1,5,0.4,0,8,0,0,0,0,5.0y+0.0,7,0,2.2y+34.0,0
